transaction_id,customer_id,amount,transaction_hour,location_change,device_change,transaction_frequency,average_customer_amount,merchant_category,previous_risk_events,is_fraud
TXN100088,C1687,2949.46,20,0,0,2,2750.7,travel,1,0
TXN100089,C1448,761.65,16,0,0,1,466.06,restaurant,1,1
TXN100090,C1123,784.25,7,0,0,1,1112.92,electronics,0,0
TXN100091,C1065,2838.52,10,0,0,1,2800.48,grocery,0,0
TXN100092,C1602,2634.28,17,0,0,3,4231.59,electronics,0,0
TXN100093,C1602,1234.14,7,0,0,1,1881.71,grocery,0,0
TXN100094,C1072,2133.02,22,0,0,2,3745.44,jewelry,0,0
TXN100095,C1060,2680.03,7,0,0,1,5061.64,grocery,2,0
TXN100096,C1927,5804.24,1,0,0,1,5885.67,cash_withdrawal,0,0
TXN100097,C1338,1620.9,2,0,0,2,1160.11,online_services,0,0
TXN100098,C1243,1221.25,8,0,0,2,952.69,jewelry,0,0
TXN100099,C1497,5549.32,6,0,0,2,3566.07,online_services,0,0
TXN100100,C1135,2554.84,23,0,0,1,2336.46,online_services,0,0
TXN100101,C1590,2023.67,15,0,0,3,4454.98,electronics,0,0
TXN100102,C1803,2207.94,15,0,0,1,2969.84,cash_withdrawal,0,0
TXN100103,C1416,11628.91,6,0,0,3,11878.9,grocery,0,0
TXN100104,C1099,1069.18,21,0,0,5,1183.77,restaurant,0,0
TXN100105,C1362,5614.86,13,0,0,4,5286.65,restaurant,1,1
TXN100106,C1478,4557.72,23,0,0,1,5749.1,grocery,0,0
TXN100107,C1689,4800.41,20,0,0,3,7179.82,jewelry,1,0
TXN100108,C1100,5100.35,1,1,0,3,3157.7,restaurant,0,1
TXN100109,C1745,4197.19,10,0,0,1,2182.33,cash_withdrawal,0,0
TXN100110,C1882,1044.82,3,0,0,3,1476.02,electronics,0,1
TXN100111,C1196,5392.31,6,1,0,1,5937.39,online_services,3,0
TXN100112,C1459,4180.22,4,0,0,1,3349.33,restaurant,0,0
TXN100113,C1187,3258.05,8,0,1,4,1908.03,restaurant,1,1
TXN100114,C1255,3200.57,2,0,0,3,3791.56,restaurant,1,0
TXN100115,C1827,7101.59,17,0,0,2,4360.97,grocery,0,0
TXN100116,C1051,2294.75,20,0,0,3,2074.91,online_services,0,0
TXN100117,C1856,3816.42,0,0,0,6,4486.15,grocery,1,0
TXN100118,C1948,1580.78,7,0,0,3,2300.25,electronics,0,0
TXN100119,C1416,3158.11,15,0,0,2,3032.82,restaurant,1,0
TXN100120,C1218,3161.66,12,0,1,1,2788.59,grocery,2,1
TXN100121,C1168,2180.78,12,0,0,2,2616.36,grocery,0,0
TXN100122,C1399,2388.69,8,0,0,1,2015.77,cash_withdrawal,0,0
TXN100123,C1803,8091.08,14,0,0,3,4976.52,travel,1,0
TXN100124,C1433,11790.42,22,0,1,1,6537.42,jewelry,2,0
TXN100125,C1802,2665.06,17,0,1,2,1262.59,jewelry,0,0
TXN100126,C1735,2377.05,15,0,0,3,1241.31,electronics,1,1
TXN100127,C1194,8501.72,9,0,0,4,4674.63,electronics,0,0
TXN100128,C1991,999.21,1,0,0,2,1151.95,online_services,0,0
TXN100129,C1753,729.7,17,0,0,3,2171.96,grocery,0,0
TXN100130,C1765,1765.54,10,0,0,1,2973.45,grocery,0,0
TXN100131,C1051,1844.72,18,0,0,1,2507.34,restaurant,0,0
TXN100132,C1514,2585.93,16,0,0,2,1998.55,electronics,2,0
TXN100133,C1058,12449.71,16,0,0,3,10597.63,grocery,1,0
TXN100134,C1871,4694.79,5,0,0,1,2595.24,grocery,0,0
TXN100135,C1609,1141.06,2,0,0,3,1447.94,jewelry,3,1
TXN100136,C1882,1744.89,7,0,0,1,1353.6,restaurant,0,0
TXN100137,C1122,5274.79,18,0,0,1,3942.05,electronics,3,0
TXN100138,C1592,5587.62,19,0,0,4,3488.11,grocery,0,1
TXN100139,C1634,2462.14,2,0,0,1,4328.61,restaurant,0,1
TXN100140,C1673,1499.0,18,1,0,2,2027.96,online_services,1,0
TXN100141,C1535,693.49,10,0,0,2,623.84,travel,0,0
TXN100142,C1209,2511.25,21,1,0,1,2148.68,jewelry,0,0
TXN100143,C1321,4794.37,7,0,0,2,5987.25,travel,0,0
TXN100144,C1405,9349.52,4,0,0,3,5393.53,jewelry,0,0
TXN100145,C1660,2263.06,9,1,0,1,3083.65,restaurant,0,1
TXN100146,C1323,1281.59,2,0,0,2,3149.64,grocery,2,0
TXN100147,C1469,4425.49,19,0,0,1,2714.86,online_services,0,0
TXN100148,C1102,2065.22,2,0,1,1,1545.45,online_services,0,0
TXN100149,C1218,2876.61,16,0,0,5,2608.48,travel,0,1
TXN100150,C1135,11026.22,11,0,0,2,6463.12,grocery,0,1
TXN100151,C1900,5377.77,7,0,0,3,6024.56,travel,0,0
TXN100152,C1291,6574.5,5,0,0,1,4939.53,restaurant,0,0
TXN100153,C1853,723.85,17,0,0,2,1383.83,jewelry,0,0
TXN100154,C1309,2449.73,19,0,0,3,3356.94,cash_withdrawal,0,0
TXN100155,C1669,665.49,16,0,0,6,1326.47,grocery,0,0
TXN100156,C1683,5754.78,17,0,0,1,5070.78,travel,2,0
TXN100157,C1954,1898.39,21,0,0,2,2911.49,grocery,0,0
TXN100158,C1961,2276.99,4,0,0,1,1491.09,travel,0,0
TXN100159,C1118,2259.6,3,0,0,4,1956.75,jewelry,0,1
TXN100160,C1566,8242.79,4,0,0,1,6934.8,travel,0,1
TXN100161,C1288,3447.46,19,0,0,2,2458.42,electronics,0,0
TXN100162,C1734,4361.52,10,0,0,3,1661.14,electronics,0,0
TXN100163,C1703,15826.64,20,0,0,3,5853.03,cash_withdrawal,0,0
TXN100164,C1270,7519.66,16,0,1,1,9646.89,restaurant,0,0
TXN100165,C1257,1233.2,1,0,0,2,957.06,grocery,0,0
TXN100166,C1649,2158.93,13,0,0,1,3052.93,cash_withdrawal,1,0
TXN100167,C1283,873.68,1,0,0,4,738.33,grocery,0,0
TXN100168,C1341,1977.83,4,0,0,2,1489.98,jewelry,0,0
TXN100169,C1268,1203.51,5,1,0,4,1387.67,jewelry,1,0
TXN100170,C1452,5512.06,17,0,0,1,4241.26,jewelry,0,0
TXN100171,C1437,4357.57,17,0,0,3,3168.55,grocery,0,1
TXN100172,C1114,2805.67,2,1,0,6,2276.99,jewelry,0,1
TXN100173,C1925,2896.46,4,0,1,2,4339.68,online_services,1,1
TXN100174,C1036,14623.0,11,0,0,2,16737.62,online_services,0,0
TXN100175,C1565,3936.38,4,1,0,2,3101.54,restaurant,0,0
TXN100176,C1130,2442.93,1,0,0,1,4350.64,travel,1,0
TXN100177,C1373,2842.32,1,1,0,1,3307.89,travel,0,0
TXN100178,C1215,2452.74,21,0,1,3,2271.68,electronics,0,0
TXN100179,C1682,1034.88,3,0,0,3,1145.03,travel,0,0
TXN100180,C1798,2425.85,17,0,0,1,2033.73,cash_withdrawal,0,0
TXN100181,C1416,1465.87,19,0,0,1,1486.42,jewelry,0,0
TXN100182,C1158,4579.96,7,0,0,3,6753.07,cash_withdrawal,2,1
TXN100183,C1166,4004.84,5,0,0,1,6631.78,restaurant,2,0
TXN100184,C1025,13820.57,5,0,0,1,8001.61,jewelry,0,0
TXN100185,C1946,6884.37,10,0,0,1,3171.79,cash_withdrawal,0,0
TXN100186,C1953,749.78,13,0,0,1,1160.97,cash_withdrawal,0,0
TXN100187,C1685,9447.66,23,0,0,1,6836.24,cash_withdrawal,2,0
TXN100188,C1254,8225.66,8,0,0,1,4559.61,electronics,0,0
TXN100189,C1806,10865.75,22,0,1,4,4101.55,grocery,0,1
TXN100190,C1391,1927.6,1,0,0,1,1639.89,cash_withdrawal,0,0
TXN100191,C1481,4779.42,7,0,0,2,4472.08,electronics,0,0
TXN100192,C1836,3011.45,14,0,0,4,2651.86,travel,0,1
TXN100193,C1312,2684.6,7,0,0,1,2790.4,electronics,1,0
TXN100194,C1024,24203.0,21,0,0,5,14917.45,electronics,0,0
TXN100195,C1408,3508.34,10,1,0,2,5323.67,travel,0,0
TXN100196,C1885,1576.48,2,0,0,1,1290.62,cash_withdrawal,1,0
TXN100197,C1285,2303.76,11,1,0,1,1720.85,jewelry,0,1
TXN100198,C1521,8341.83,12,0,0,2,9985.35,jewelry,0,0
TXN100199,C1863,5212.08,17,0,0,2,6745.18,travel,0,0
TXN100200,C1961,21738.0,0,0,0,2,12620.18,grocery,0,0
TXN100201,C1898,4860.82,8,0,0,2,6510.24,electronics,0,0
TXN100202,C1594,2663.34,8,0,0,5,2813.33,grocery,0,0
TXN100203,C1111,3749.55,19,0,0,1,2297.22,restaurant,0,0
TXN100204,C1353,1484.49,23,0,1,1,3289.93,cash_withdrawal,1,1
TXN100205,C1321,3360.36,13,0,0,1,4270.64,online_services,0,0
TXN100206,C1523,371.56,3,0,0,1,399.46,restaurant,0,0
TXN100207,C1921,4032.39,18,0,0,1,3817.83,electronics,0,0
TXN100208,C1260,1092.83,1,0,0,1,1655.41,jewelry,0,0
TXN100209,C1446,1924.05,0,0,0,1,3200.78,online_services,0,1
TXN100210,C1947,5090.96,17,0,0,3,4874.07,jewelry,0,0
TXN100211,C1736,3475.34,23,1,0,1,1172.38,jewelry,0,0
TXN100212,C1686,3792.44,6,0,0,1,4642.8,travel,1,0
TXN100213,C1441,2859.35,2,0,0,2,3372.84,jewelry,2,1
TXN100214,C1942,5381.05,10,0,0,1,2177.94,online_services,0,0
TXN100215,C1321,1845.37,21,0,0,1,1894.92,cash_withdrawal,0,0
TXN100216,C1127,1130.55,23,0,0,2,1083.24,travel,3,0
TXN100217,C1519,5340.9,9,0,0,1,5531.29,jewelry,0,0
TXN100218,C1418,5773.11,10,1,0,2,7454.93,restaurant,0,0
TXN100219,C1713,3878.99,9,1,0,1,2179.55,online_services,1,0
TXN100220,C1130,1966.51,6,0,0,1,2358.21,restaurant,0,0
TXN100221,C1680,5724.18,12,1,0,3,3031.93,jewelry,1,0
TXN100222,C1766,21948.93,5,0,0,1,6844.29,online_services,0,0
TXN100223,C1582,4132.22,9,0,0,2,3603.58,restaurant,0,0
TXN100224,C1561,7314.44,0,0,0,2,7390.1,travel,0,0
TXN100225,C1293,752.01,6,0,0,3,1874.51,restaurant,3,0
TXN100226,C1804,2711.28,18,0,0,1,3868.82,online_services,0,0
TXN100227,C1670,3629.97,10,0,0,2,4494.84,restaurant,0,0
TXN100228,C1452,3386.46,14,1,0,3,6124.66,jewelry,2,1
TXN100229,C1218,1621.56,16,0,0,4,1515.62,restaurant,0,0
TXN100230,C1812,4097.42,23,0,0,4,3760.8,electronics,2,0
TXN100231,C1674,4380.97,2,0,0,1,5552.84,travel,0,0
TXN100232,C1527,2178.48,21,0,0,2,2549.3,jewelry,0,0
TXN100233,C1634,6029.56,10,0,0,1,4023.14,grocery,0,0
TXN100234,C1838,2560.58,7,1,0,1,3159.55,jewelry,1,0
TXN100235,C1317,4790.92,7,0,0,2,3588.93,cash_withdrawal,0,0
TXN100236,C1203,7910.82,4,0,0,4,4263.48,grocery,0,0
TXN100237,C1047,844.84,7,0,1,4,2490.87,restaurant,0,0
TXN100238,C1625,1910.45,2,0,0,3,1942.56,restaurant,0,0
TXN100239,C1424,1638.95,20,0,0,1,3158.04,online_services,0,0
TXN100240,C1199,6813.26,22,0,0,2,3727.24,jewelry,0,0
TXN100241,C1393,1211.34,15,0,0,2,3205.04,restaurant,0,0
TXN100242,C1249,413.62,4,1,0,4,843.7,jewelry,0,1
TXN100243,C1704,2501.79,0,0,0,2,3299.11,cash_withdrawal,0,0
TXN100244,C1881,2814.96,3,0,0,4,2719.27,cash_withdrawal,0,0
TXN100245,C1435,4847.56,7,0,0,1,3445.1,electronics,2,0
TXN100246,C1823,1405.64,22,0,0,2,1338.62,online_services,0,0
TXN100247,C1475,1051.65,1,0,0,4,756.29,online_services,0,1
TXN100248,C1255,7060.03,3,0,0,2,7900.85,restaurant,0,0
TXN100249,C1136,12845.62,14,0,0,1,9044.87,jewelry,0,0
TXN100250,C1543,1250.56,17,0,0,2,1517.65,online_services,0,0
TXN100251,C1324,12117.53,14,0,0,3,5857.02,online_services,0,0
TXN100252,C1834,4382.13,23,0,0,1,4369.48,online_services,0,0
TXN100253,C1436,718.82,17,1,0,4,843.33,restaurant,3,0
TXN100254,C1918,3382.47,5,0,0,1,2765.26,jewelry,0,0
TXN100255,C1882,5837.25,15,0,0,1,4659.37,restaurant,0,0
TXN100256,C1265,1044.24,7,0,0,3,745.82,cash_withdrawal,3,1
TXN100257,C1652,15551.75,8,0,0,1,6442.5,cash_withdrawal,0,0
TXN100258,C1796,4394.37,16,0,0,1,3560.36,restaurant,1,0
TXN100259,C1641,2771.34,7,0,1,1,1870.87,travel,3,0
TXN100260,C1450,5706.41,2,0,0,2,3564.19,jewelry,0,0
TXN100261,C1292,6902.91,7,1,0,4,6243.15,travel,0,1
TXN100262,C1343,6149.09,10,0,0,3,6741.68,online_services,2,0
TXN100263,C1082,10522.88,4,0,0,1,11730.46,electronics,0,0
TXN100264,C1236,2833.8,12,0,1,1,1922.34,jewelry,3,1
TXN100265,C1156,3012.58,22,0,0,2,2048.93,electronics,1,0
TXN100266,C1065,9423.63,13,0,0,1,6851.61,restaurant,0,0
TXN100267,C1338,453.57,17,0,0,1,945.59,restaurant,1,1
TXN100268,C1425,871.71,1,0,0,2,791.93,electronics,0,0
TXN100269,C1852,1051.35,13,0,0,3,1482.34,restaurant,0,0
TXN100270,C1926,3183.19,18,0,0,1,3150.22,jewelry,1,0
TXN100271,C1020,7712.35,18,0,0,2,13783.7,restaurant,1,0
TXN100272,C1488,21676.7,0,0,0,1,6261.32,travel,0,0
TXN100273,C1305,2212.1,12,0,0,1,2065.52,cash_withdrawal,0,0
TXN100274,C1913,3654.73,13,0,0,1,5817.16,online_services,0,0
TXN100275,C1765,1640.31,23,0,0,4,1880.55,online_services,2,0
TXN100276,C1819,6945.69,19,0,0,1,2847.27,electronics,0,0
TXN100277,C1499,3515.09,7,0,1,2,3408.59,travel,1,0
TXN100278,C1446,2207.91,15,1,0,2,2703.73,grocery,0,0
TXN100279,C1398,6127.51,10,0,0,3,7076.86,jewelry,0,0
TXN100280,C1695,1469.26,12,0,0,2,1773.3,jewelry,0,0
TXN100281,C1169,3106.96,14,0,0,1,2368.39,electronics,0,0
TXN100282,C1637,615.27,17,0,0,2,1024.82,grocery,0,0
TXN100283,C1928,2612.9,12,1,0,3,2941.04,online_services,0,1
TXN100284,C1577,6231.17,21,0,0,1,4774.3,grocery,0,0
TXN100285,C1085,736.5,20,0,0,4,656.49,restaurant,1,0
TXN100286,C1138,4985.04,14,0,0,1,2549.77,electronics,0,0
TXN100287,C1051,9151.16,8,0,0,6,9604.99,restaurant,0,0
TXN100288,C1335,1987.02,6,0,0,1,2292.42,restaurant,1,0
TXN100289,C1334,5707.79,10,0,0,2,9012.6,cash_withdrawal,1,0
TXN100290,C1900,1296.63,12,1,0,1,1390.81,travel,0,0
TXN100291,C1770,4068.92,13,0,0,1,5372.61,travel,0,0
TXN100292,C1854,4819.84,2,0,1,3,4078.58,restaurant,3,1
TXN100293,C1019,1070.14,23,0,0,2,2215.77,online_services,1,1
TXN100294,C1053,4051.08,11,0,0,2,4016.32,electronics,0,0
TXN100295,C1665,2040.81,2,0,0,1,3506.98,cash_withdrawal,0,0
TXN100296,C1980,1630.67,20,0,0,1,1242.29,grocery,0,0
TXN100297,C1772,11598.64,0,0,0,3,12962.36,electronics,1,0
TXN100298,C1204,6145.84,0,1,1,3,8052.37,online_services,0,1
TXN100299,C1156,1774.06,7,0,0,1,1276.89,electronics,0,0
TXN100300,C1484,3179.55,21,0,1,3,3462.45,grocery,1,0
TXN100301,C1577,4513.07,6,1,0,3,5143.51,restaurant,0,0
TXN100302,C1716,1277.55,8,0,0,1,2027.37,cash_withdrawal,0,0
TXN100303,C1377,526.67,5,0,0,3,481.57,online_services,0,0
TXN100304,C1621,991.12,23,0,0,1,858.33,jewelry,1,0
TXN100305,C1117,1528.28,5,0,1,1,4832.72,travel,0,0
TXN100306,C1110,10111.33,18,0,0,1,6989.48,grocery,0,0
TXN100307,C1951,1295.77,9,1,0,4,2159.9,online_services,0,0
TXN100308,C1693,2108.69,12,0,0,1,1666.85,restaurant,0,0
TXN100309,C1964,3972.84,22,0,0,2,6225.22,electronics,2,1
TXN100310,C1077,9950.21,18,0,0,3,6357.3,jewelry,1,0
TXN100311,C1850,692.72,20,1,0,4,1200.65,electronics,0,0
TXN100312,C1104,7107.97,22,0,0,1,4850.69,cash_withdrawal,0,0
TXN100313,C1308,877.28,21,0,0,2,1030.18,online_services,0,0
TXN100314,C1824,2848.36,3,0,0,1,2523.59,cash_withdrawal,1,0
TXN100315,C1579,864.85,1,0,0,2,1363.76,travel,0,1
TXN100316,C1545,2455.37,13,0,0,1,2301.94,jewelry,0,0
TXN100317,C1379,3826.46,2,0,0,1,1918.92,online_services,0,0
TXN100318,C1663,2088.37,10,1,0,2,2672.77,grocery,0,0
TXN100319,C1869,1912.94,13,0,0,1,2426.04,cash_withdrawal,0,0
TXN100320,C1501,6525.72,3,0,0,2,8600.01,restaurant,0,0
TXN100321,C1983,995.17,11,0,1,1,1563.52,jewelry,0,1
TXN100322,C1912,1799.16,14,0,0,2,2033.11,jewelry,2,0
TXN100323,C1156,10819.35,13,0,0,3,6856.4,electronics,0,0
TXN100324,C1751,2904.8,16,0,0,2,2564.61,jewelry,0,0
TXN100325,C1276,4326.24,19,0,0,1,4449.02,cash_withdrawal,3,0
TXN100326,C1941,2710.95,17,0,0,2,2932.22,cash_withdrawal,0,0
TXN100327,C1495,2898.73,14,0,0,2,3014.13,restaurant,0,0
TXN100328,C1845,1262.21,23,0,0,1,1722.21,online_services,0,0
TXN100329,C1274,14460.5,10,0,1,5,9232.49,cash_withdrawal,0,1
TXN100330,C1251,7175.36,2,0,0,3,3321.05,travel,0,1
TXN100331,C1902,8633.54,14,0,0,2,6469.64,electronics,0,0
TXN100332,C1768,2987.29,14,0,0,2,2029.02,online_services,0,0
TXN100333,C1624,3002.45,21,0,0,1,3556.18,restaurant,0,0
TXN100334,C1344,2730.95,0,0,0,1,4358.54,restaurant,0,0
TXN100335,C1871,1514.49,10,0,0,3,3196.22,electronics,2,1
TXN100336,C1499,723.87,6,0,1,1,1336.92,travel,0,0
TXN100337,C1816,1125.5,8,0,0,5,1118.26,travel,0,0
TXN100338,C1286,2015.86,19,0,0,1,1442.43,jewelry,0,0
TXN100339,C1901,1277.57,8,0,0,2,1246.38,online_services,0,0
TXN100340,C1010,1614.49,16,0,0,1,3209.99,electronics,0,0
TXN100341,C1087,15595.96,7,0,0,3,6093.44,jewelry,0,0
TXN100342,C1416,5683.91,15,0,0,1,3749.86,online_services,0,0
TXN100343,C1776,1990.1,7,0,0,1,1484.64,jewelry,0,0
TXN100344,C1487,11318.23,20,0,0,1,18667.8,jewelry,0,0
TXN100345,C1502,4608.22,14,0,0,2,3867.93,cash_withdrawal,0,0
TXN100346,C1017,4435.69,2,0,0,3,2798.71,travel,1,0
TXN100347,C1226,4303.72,12,0,0,1,4218.84,jewelry,0,0
TXN100348,C1249,1059.21,9,0,0,1,801.44,jewelry,0,0
TXN100349,C1595,9913.38,11,0,0,2,5585.6,restaurant,0,0
TXN100350,C1566,7106.95,16,0,0,5,3597.43,travel,0,0
TXN100351,C1435,2283.64,23,0,0,6,1800.02,online_services,0,0
TXN100352,C1338,9589.21,11,0,0,1,10577.82,jewelry,0,0
TXN100353,C1464,4523.13,8,0,0,4,3013.73,travel,0,0
TXN100354,C1257,3118.3,7,0,0,1,3193.32,grocery,0,0
TXN100355,C1738,1352.75,6,0,0,2,1024.39,travel,0,0
TXN100356,C1122,608.4,23,0,0,1,1471.46,online_services,1,0
TXN100357,C1973,2107.98,22,0,0,7,2045.45,electronics,0,0
TXN100358,C1196,4665.33,6,0,0,2,6720.91,jewelry,0,0
TXN100359,C1495,2729.73,8,0,0,2,2900.05,jewelry,0,0
TXN100360,C1603,10075.08,16,0,0,4,7588.83,online_services,0,1
TXN100361,C1289,4710.48,3,0,0,2,2330.9,cash_withdrawal,2,0
TXN100362,C1198,1134.52,9,1,1,4,1064.69,electronics,0,1
TXN100363,C1369,2766.98,5,1,0,4,1420.5,travel,0,0
TXN100364,C1014,1516.07,22,0,0,2,1281.52,online_services,0,0
TXN100365,C1129,12993.47,8,0,0,3,8847.7,grocery,0,0
TXN100366,C1997,3563.2,1,0,0,1,3906.61,online_services,0,0
TXN100367,C1299,2429.14,22,0,0,2,3417.0,electronics,1,0
TXN100368,C1653,2493.18,15,0,1,1,1592.58,grocery,1,0
TXN100369,C1893,3572.8,0,0,0,1,2911.64,online_services,3,1
TXN100370,C1291,1844.45,15,0,0,1,2580.91,restaurant,0,0
TXN100371,C1451,2235.0,10,1,0,2,2491.58,electronics,1,0
TXN100372,C1988,1040.03,1,0,0,2,1464.9,travel,0,0
TXN100373,C1963,1471.28,15,0,0,1,2232.55,grocery,0,0
TXN100374,C1841,8720.26,2,0,0,1,7680.35,restaurant,0,0
TXN100375,C1503,1629.86,2,0,0,1,1648.05,online_services,0,0
TXN100376,C1644,9116.22,21,0,0,3,4355.91,grocery,3,1
TXN100377,C1155,1039.22,4,0,0,3,1301.08,cash_withdrawal,1,0
